,iteration,grasp_status,total_time,solution_time_sim,solution_time_real,solution_time_offset,grasp_pose_time,grasp_pose_estimate,offset,grip_time
50,51,SUCCESS,5.958,0.03,0.06292486190795898,0.032924861907958985,2.768,2.680529063,0.08747093699999997,1.283
51,52,SUCCESS,5.802,0.041,0.05286979675292969,0.011869796752929686,2.762,2.6669876390000002,0.09501236099999977,1.3
52,53,SUCCESS,5.875,0.085,0.08899307250976562,0.003993072509765619,2.8120000000000003,2.708637122,0.10336287800000044,1.297
53,54,SUCCESS,5.841,0.042,0.06590652465820312,0.023906524658203122,2.81,2.721210826,0.08878917399999997,1.291
54,55,SUCCESS,5.97,0.017,0.035173892974853516,0.018173892974853514,2.867,2.7457409310000003,0.12125906899999972,1.307
55,56,SUCCESS,6.153,0.047,0.05946707725524902,0.012467077255249023,2.931,2.764558718,0.16644128200000008,1.34
56,57,SUCCESS,6.026,0.121,0.22462701797485352,0.10362701797485352,2.862,2.773418189,0.08858181100000007,1.291
57,58,SUCCESS,6.31,0.22,0.28731441497802734,0.06731441497802734,2.919,2.806525345,0.1124746550000002,1.283
58,59,SUCCESS,6.124,0.205,0.2550668716430664,0.05006687164306642,2.912,2.8209459199999998,0.09105408000000015,1.298
59,60,SUCCESS,6.037,0.062,0.09004974365234375,0.02804974365234375,2.923,2.8308415399999998,0.09215846000000028,1.286
60,61,SUCCESS,6.139,0.209,0.3214573860168457,0.11245738601684571,2.942,2.839873872,0.1021261280000001,1.29
61,62,SUCCESS,6.094,0.134,0.16021013259887695,0.026210132598876945,2.981,2.875395548,0.10560445199999968,1.28
62,63,SUCCESS,5.9190000000000005,0.027,0.04065871238708496,0.013658712387084961,2.941,2.862411871,0.0785881289999999,1.276
63,64,SUCCESS,6.197,0.029,0.04029989242553711,0.011299892425537108,2.973,2.872029258,0.10097074199999989,1.306
64,65,SUCCESS,6.14,0.045,0.06718659400939941,0.022186594009399416,2.999,2.883234202,0.11576579799999998,1.289
65,66,SUCCESS,6.149,0.03,0.04760575294494629,0.01760575294494629,3.002,2.9061090590000003,0.09589094099999951,1.292
66,67,SUCCESS,5.973,0.166,0.23499441146850586,0.06899441146850585,2.846,2.724859071,0.12114092900000006,1.303
67,68,SUCCESS,6.076,0.057,0.07936453819274902,0.02236453819274902,3.067,2.9647170669999996,0.10228293300000058,1.292
68,69,SUCCESS,6.438,0.129,0.15491437911987305,0.025914379119873043,3.156,2.976041977,0.1799580230000002,1.332
69,70,SUCCESS,6.126,0.083,0.08047127723693848,-0.0025287227630615278,3.097,2.9823574429999997,0.11464255700000026,1.276
70,71,SUCCESS,6.184,0.14,0.14599967002868652,0.00599967002868651,3.076,2.992296597,0.0837034029999999,1.279
71,72,FAIL,7.119,0.109,0.1439368724822998,0.034936872482299805,5.281,4.576058679,0.7049413209999997,0.04
72,73,SUCCESS,8.064,0.068,0.10257720947265625,0.034577209472656245,5.02,4.888718509,0.1312814909999993,1.2810000000000001
73,74,SUCCESS,8.205,0.051,0.05709481239318848,0.00609481239318848,5.006,4.90553031,0.10046969000000061,1.284
74,75,SUCCESS,8.101,0.053,0.053580284118652344,0.0005802841186523452,4.951,4.820907599,0.13009240099999975,1.291
75,76,SUCCESS,8.033,0.162,0.19493627548217773,0.03293627548217773,4.888,4.7834486609999995,0.10455133900000035,1.283
76,77,SUCCESS,8.004,0.04,0.05556344985961914,0.01556344985961914,4.911,4.797057633,0.11394236699999993,1.279
77,78,SUCCESS,7.889,0.045,0.08554553985595703,0.04054553985595703,4.86,4.745052155,0.11494784500000055,1.291
78,79,SUCCESS,8.084,0.1,0.13081979751586914,0.030819797515869135,4.896,4.730145545,0.16585445499999985,1.288
79,80,SUCCESS,7.842,0.047,0.0681602954864502,0.021160295486450195,4.814,4.702670782,0.11132921799999984,1.276
